;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
dez/10;0,78;0,61;4,388807633;-0,453500357;15,30529926;0;0;0;0;0;0;0;0;0;0;0;0;10,66;-0,0199;-15,30529926;0,503352888;0,63
jan/11;0,79;0,73;7,017833846;-1,881267252;15,16457105;0;1;0;0;0;0;0;0;0;0;0;0;10,85;-0,0185;-15,16457105;0,937672699;0,83
fev/11;0,93;0,47;1,299513892;-0,869063957;15,39333556;0;0;1;0;0;0;0;0;0;0;0;0;11,17;-0,0069;-15,39333556;0,786394319;0,8
mar/11;0,68;0,49;-0,315368;1,713444924;15,40379299;0;0;0;1;0;0;0;0;0;0;0;0;11,62;-0,0089;-15,40379299;0,761078258;0,79
abr/11;0,56;0,42;-4,348579494;0,057678156;15,19145416;0;0;0;0;1;0;0;0;0;0;0;0;11,74;-0,0727;-15,19145416;0,728003465;0,77
mai/11;0,44;0,19;-0,476079127;0,967306314;14,81416648;0;0;0;0;0;1;0;0;0;0;0;0;11,92;0,0271;-14,81416648;0,503826689;0,47
jun/11;0,26;0,18;-3,680634841;0,404722345;14,67167054;0;0;0;0;0;0;1;0;0;0;0;0;12,1;-0,0265;-14,67167054;0,448955226;0,15
jul/11;0,11;0,29;0,371875705;1,338252263;14,63121255;-1,57E-07;0;0;0;0;0;0;1;0;0;0;0;12,25;-0,0231;-14,63121271;0,47693162;0,16
ago/11;0,51;0,37;0,187088118;1,922568782;14,78626754;-4,73E-06;0;0;0;0;0;0;0;1;0;0;0;12,42;0,0331;-14,78627227;0,714074133;0,37
set/11;0,49;0,47;8,093757186;0,260350801;14,85268003;-0,004702041;0;0;0;0;0;0;0;0;1;0;0;11,91;0,1528;-14,85738207;0,740659291;0,53
out/11;0,42;0,5;-7,740220626;0,077637492;15,03226656;-0,004192562;0;0;0;0;0;0;0;0;0;1;0;11,7;0,0229;-15,03645912;0,612810931;0,43
nov/11;0,62;0,5;2,996743484;-0,062270028;15,07233108;-0,007021043;0;0;0;0;0;0;0;0;0;0;1;11,4;0,0179;-15,07935212;0,725862312;0,52
dez/11;0,63;0,6;1,894802336;-0,969126556;14,55424642;-0,0049;0;0;0;0;0;0;0;0;0;0;0;10,9;0,0464;-14,55914642;0,525786301;0,5
jan/12;0,59;0,58;-4,019607679;-2,934736117;14,10253099;-0,009344444;1;0;0;0;0;0;0;0;0;0;0;10,7;-0,0472;-14,11187543;0,69139751;0,56
fev/12;0,51;0,47;-0,840859224;-2,37077193;13,87301505;-0,106481994;0;1;0;0;0;0;0;0;0;0;0;10,4;-0,0712;-13,97949704;0,507797877;0,45
mar/12;0,22;0,5;5,275667202;0,939457934;13,845815;-0,216119331;0;0;1;0;0;0;0;0;0;0;0;9,82;0,0769;-14,06193433;0,66730521;0,21
abr/12;0,69;0,47;2,622405537;-1,1139809;14,02497631;-0,25;0;0;0;1;0;0;0;0;0;0;0;9,35;0,0595;-14,27497631;0,875768623;0,64
